City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
hithadhoo,80.43,100,68,1.74,-0.6,73.08
punta arenas,30.2,80,0,17.22,-53.16,-70.91
rikitea,73.68,100,48,19.53,-23.12,-134.97
kodiak,77.0,88,1,4.7,39.95,-94.76
diamantino,64.5,70,0,4.76,-14.4,-56.44
ilulissat,44.6,75,36,12.75,69.22,-51.1
beringovskiy,55.32,92,8,13.82,63.05,179.32
victoria,90.55,79,75,3.36,5.28,115.24
hambantota,83.94,87,88,19.42,6.12,81.12
guiberoua,71.97,94,92,3.98,6.24,-6.17
ushuaia,41.0,38,0,19.46,-54.81,-68.31
camacha,68.0,82,20,8.05,33.08,-16.33
carnarvon,37.86,79,0,9.69,-30.97,22.13
georgetown,75.2,100,90,2.24,6.8,-58.16
sao filipe,73.5,100,36,4.43,14.9,-24.5
praia da vitoria,68.0,82,40,15.5,38.73,-27.07
new norfolk,51.8,50,75,11.41,-42.78,147.06
poiares,53.07,86,0,2.75,41.06,-6.86
busselton,64.86,94,32,29.15,-33.64,115.35
dingle,87.27,67,24,12.59,11.0,122.67
orlik,51.54,100,92,1.52,52.51,99.83
klaksvik,50.0,100,80,4.65,62.23,-6.59
lebu,56.94,98,68,3.76,8.96,38.73
dikson,37.68,100,24,14.94,73.51,80.55
turka,62.88,100,92,4.99,49.16,23.03
okhotsk,65.31,71,56,5.66,59.36,143.24
los llanos de aridane,69.8,73,32,13.87,28.66,-17.92
hermanus,65.4,38,32,9.69,-34.42,19.24
aklavik,42.8,93,90,8.05,68.22,-135.01
qaqortoq,46.4,93,75,3.36,60.72,-46.03
castro,26.07,99,24,3.42,-42.48,-73.76
provost,60.9,94,64,5.99,52.35,-110.26
vao,69.27,82,88,5.88,59.1,26.19
mogadishu,76.65,100,12,18.3,2.04,45.34
axim,76.02,100,100,9.13,4.87,-2.24
hobart,51.8,50,75,11.41,-42.88,147.33
saldanha,55.32,89,8,2.98,41.42,-6.55
boddam,57.2,71,80,3.36,57.47,-1.78
tuktoyaktuk,42.8,75,90,18.34,69.44,-133.03
upernavik,37.95,100,0,10.47,72.79,-56.15
puerto ayora,71.25,100,64,15.84,-0.74,-90.35
port elizabeth,68.34,93,1,7.23,39.31,-74.98
marsaxlokk,73.4,94,20,5.82,35.84,14.54
leningradskiy,40.83,81,12,8.46,69.38,178.42
benguela,68.1,100,68,5.77,-12.58,13.4
narsaq,46.4,93,75,3.36,60.91,-46.05
sedalia,70.63,64,1,6.93,38.7,-93.23
qaanaaq,39.12,85,56,4.21,77.48,-69.36
saint-pierre,60.6,67,0,8.05,48.95,4.24
luwuk,78.18,99,80,4.76,-0.95,122.79
springbok,42.63,64,0,5.21,-29.67,17.88
saint-louis,58.73,82,0,1.12,47.59,7.56
port lincoln,56.67,85,92,14.67,-34.72,135.86
saint anthony,72.12,17,1,11.41,43.97,-111.68
port alfred,64.05,68,0,8.57,-33.59,26.89
vaini,72.15,99,92,10.36,15.34,74.49
sarankhola,84.57,97,92,7.11,22.31,89.79
thompson,64.4,68,40,9.17,55.74,-97.86
bluff,76.11,44,56,4.76,-23.58,149.07
arraial do cabo,70.71,91,0,17.85,-22.97,-42.02
yerbogachen,75.3,48,24,4.09,61.28,108.01
butaritari,84.57,100,64,6.89,3.07,172.79
kruisfontein,67.38,55,0,10.69,-34.0,24.73
teguise,69.8,77,0,19.46,29.06,-13.56
tautira,80.6,69,20,1.12,-17.73,-149.15
arona,69.33,73,40,3.36,45.76,8.56
starkville,78.87,94,1,3.36,33.45,-88.82
hilo,73.65,69,90,6.93,19.71,-155.08
becicherecu mic,66.29,100,20,4.7,45.83,21.05
elizabeth city,73.54,78,1,4.76,36.3,-76.22
mahebourg,71.6,60,75,12.75,-20.41,57.7
krasnovishersk,74.85,60,0,10.69,60.4,57.08
meulaboh,82.14,100,36,4.54,4.14,96.13
tiksi,38.22,100,92,13.6,71.64,128.87
albany,57.56,68,1,2.64,42.65,-73.75
wencheng,82.68,68,20,2.64,27.79,120.09
high prairie,66.84,58,68,7.18,55.43,-116.48
yumen,83.58,38,0,4.43,40.29,97.04
anloga,77.0,94,40,8.05,5.79,0.9
chumikan,52.26,97,100,8.12,54.72,135.31
ribeira grande,72.24,100,44,16.28,38.52,-28.7
kropotkin,78.45,75,0,6.67,45.43,40.58
faanui,80.16,100,88,19.86,-16.48,-151.75
almaznyy,75.84,67,76,6.78,48.03,40.04
souillac,61.61,93,0,3.36,45.6,-0.6
manyana,57.2,35,20,27.51,-35.26,150.51
luebo,67.74,74,0,4.43,-5.35,21.42
kutum,75.84,55,0,7.67,14.2,24.66
barrow,48.66,99,92,14.05,-38.31,-60.23
nipawin,62.6,82,1,5.82,53.36,-104.02
jamestown,49.2,78,20,11.36,-33.21,138.6
kapaa,82.54,74,90,16.11,22.08,-159.32
avera,76.66,94,75,6.93,33.19,-82.53
yellowknife,62.6,63,20,2.24,62.45,-114.38
mataura,51.18,68,48,13.49,-46.19,168.86
stanger,49.74,81,0,4.54,-29.34,31.29
yingcheng,96.8,53,20,4.47,30.93,113.57
longyearbyen,38.85,100,88,4.65,78.22,15.63
hamilton,80.6,83,90,16.11,32.3,-64.78
praia,60.8,67,0,6.93,-20.25,-43.81
bambous virieux,71.6,60,75,12.75,-20.34,57.76
faya,71.64,73,5,4.65,18.39,42.45
vila franca do campo,68.0,72,75,13.87,37.72,-25.43
lagunillas,54.33,95,20,1.63,8.5,-71.39
bethel,64.4,63,1,11.41,60.79,-161.76
bredasdorp,60.8,36,12,6.93,-34.53,20.04
lagoa,66.2,77,0,8.05,37.14,-8.45
nikolskoye,69.8,73,0,6.71,59.7,30.79
deputatskiy,69.09,53,0,11.03,69.3,139.9
tasiilaq,39.2,93,92,3.36,65.61,-37.64
husavik,65.22,97,76,15.84,50.56,-96.99
kaitangata,44.79,72,48,5.21,-46.28,169.85
kavieng,78.36,100,80,9.46,-2.57,150.8
tazovskiy,53.7,40,0,15.17,67.47,78.7
norman wells,69.8,52,75,4.7,65.28,-126.83
cape town,60.8,67,0,21.92,-33.93,18.42
airai,75.12,82,88,2.42,-8.93,125.41
saskylakh,43.62,67,76,19.75,71.97,114.09
clyde river,39.2,85,1,9.17,70.47,-68.59
northam,57.2,87,36,2.24,51.04,-4.21
kiama,57.2,35,20,27.51,-34.67,150.86
atuona,79.35,100,92,20.09,-9.8,-139.03
le vauclin,80.6,74,40,14.99,14.55,-60.84
samana,68.1,96,32,1.97,0.12,-76.97
santa cruz,62.64,93,1,2.08,36.97,-122.03
mangan,52.17,93,80,1.52,27.5,88.54
saint-francois,64.4,82,68,6.93,46.42,3.91
nazareno,89.6,24,40,5.82,25.4,-103.42
stolbishche,72.42,88,48,4.65,52.59,35.29
wokha,96.72,65,20,3.42,26.1,94.25
lufilufi,81.6,100,48,12.82,-13.87,-171.6
huzhou,91.59,62,0,9.01,30.86,120.1
punta cardon,80.6,78,20,16.4,11.61,-70.22
neuquen,41.0,75,75,4.7,-38.95,-68.06
manta,70.44,89,32,4.09,45.1,24.1
villa carlos paz,39.2,64,0,5.82,-31.42,-64.5
patiya,89.6,70,40,4.7,22.3,91.98
east london,50.0,57,0,3.36,-33.02,27.91
goderich,64.32,61,0,12.82,43.74,-81.71
salalah,75.2,100,90,2.24,17.01,54.1
yantal,76.92,64,44,3.42,56.85,105.25
chimbote,59.1,100,64,8.01,-9.08,-78.59
ryotsu,87.8,70,75,6.93,38.08,138.43
sambava,73.86,100,36,16.84,-14.27,50.17
inuvik,42.8,93,90,8.05,68.36,-133.71
chuy,61.44,99,92,12.59,-33.69,-53.46
luderitz,55.05,73,0,0.96,-26.65,15.16
kingaroy,60.45,91,24,12.15,-26.54,151.84
poltavka,78.81,57,80,5.55,54.36,71.76
wajima,89.6,59,40,6.93,37.4,136.9
yulara,64.4,34,0,12.75,-25.24,130.99
opole lubelskie,69.18,82,20,10.69,51.15,21.97
porto velho,75.2,78,0,3.09,-8.75,-63.87
provideniya,48.2,81,90,13.42,64.42,-173.23
brodnica,67.2,95,0,7.23,53.26,19.4
cabo san lucas,82.51,61,5,9.17,22.89,-109.91
kampot,85.83,75,44,13.94,10.62,104.18
chokurdakh,66.12,56,0,21.99,70.62,147.9
necochea,50.1,99,92,14.27,-38.55,-58.74
tumpat,88.9,74,75,3.36,6.2,102.17
lorengau,80.07,100,92,19.64,-2.02,147.27
gijon,62.6,100,75,10.02,43.54,-5.66
severo-kurilsk,59.55,81,88,4.21,50.68,156.12
helmsdale,55.4,93,92,5.82,58.12,-3.65
juntas,62.52,90,92,1.41,-1.92,-79.25
lompoc,64.17,93,90,1.97,34.64,-120.46
dunedin,41.91,73,12,7.0,-45.87,170.5
vostok,76.92,93,92,3.2,46.45,135.83
evensk,56.22,86,92,7.34,61.92,159.24
mar del plata,22.02,100,0,6.44,-46.43,-67.52
padang,80.25,100,48,3.98,-0.92,100.36
pisco,64.4,88,75,5.82,-13.71,-76.2
farmington,81.37,26,1,9.17,36.73,-108.21
san patricio,68.73,71,80,7.0,-26.98,-56.83
celestun,82.77,99,8,18.19,20.87,-90.4
vardo,68.76,60,1,5.82,39.62,-77.74
sur,90.24,82,0,2.64,22.57,59.53
tyret pervaya,69.36,98,92,6.33,53.67,102.31
dire,56.94,98,68,3.76,9.18,38.92
rosetta,78.8,78,20,8.05,31.4,30.42
westport,59.37,99,92,11.03,53.8,-9.52
iquique,57.2,87,40,14.99,-20.22,-70.14
pevek,46.05,85,8,2.64,69.7,170.27
antofagasta,53.6,76,40,19.46,-23.65,-70.4
aykhal,42.54,97,92,13.15,65.95,111.51
cherskiy,53.7,39,0,2.64,68.75,161.3
russell,37.4,69,0,3.36,-33.01,-68.8
kampong thum,87.81,76,88,9.13,12.71,104.89
avarua,77.0,78,40,6.93,-21.21,-159.78
nioro,72.78,99,80,4.65,13.79,-15.05
khandbari,51.9,60,64,0.4,27.38,87.21
gat,78.8,94,75,6.89,14.69,-16.54
ta khmau,86.0,70,40,14.99,11.48,104.95
coquimbo,42.8,70,0,6.93,-29.95,-71.34
torbay,64.4,100,90,16.11,47.66,-52.73
guspini,66.7,77,0,4.7,39.54,8.63
whitehorse,69.8,30,75,8.05,60.72,-135.06
mangrol,80.34,100,92,2.19,25.33,76.51
fortuna,75.2,88,20,4.7,38.18,-1.13
kahului,78.71,69,20,23.04,20.89,-156.47
flinders,57.2,35,20,27.51,-34.58,150.85
banjar,83.67,60,12,3.76,-7.37,108.54
jimeta,71.34,95,48,3.76,9.28,12.44
noyabrsk,61.53,43,0,12.71,63.2,75.45
korem,65.67,79,36,3.09,12.51,39.52
cidreira,68.37,70,0,11.59,-30.17,-50.22
lakes entrance,52.98,73,92,19.98,-37.88,147.99
sinnamary,78.27,100,56,6.11,5.38,-52.96
sinegorye,54.69,52,0,2.64,62.09,150.53
mabaruma,77.82,94,92,4.32,8.2,-59.78
roebourne,86.55,17,0,7.45,-20.77,117.15
rumilly,62.71,87,0,5.82,45.87,5.94
outlook,65.04,82,12,4.88,51.48,-107.04
vila velha,78.8,65,0,16.11,-3.71,-38.6
letlhakane,44.7,95,0,14.27,-21.42,25.59
karpogory,71.25,71,0,6.33,64.0,44.44
raton,79.09,38,1,10.29,36.9,-104.44
kununurra,91.4,7,0,14.99,-15.77,128.74
sisimiut,39.75,98,92,3.2,66.94,-53.67
tianpeng,96.09,64,20,5.88,28.88,112.34
komsomolskiy,62.52,61,0,4.43,67.55,63.78
bud,54.81,100,40,4.7,62.91,6.91
sassandra,75.93,99,88,7.67,4.95,-6.09
bulgan,75.3,66,0,4.54,48.81,103.53
kaseda,82.72,94,90,10.29,31.42,130.32
esfarayen,82.4,32,0,2.24,37.08,57.51
namatanai,79.17,100,80,6.67,-3.66,152.44
anadyr,53.6,93,90,29.08,64.73,177.51
gao,80.52,72,8,6.55,16.28,-0.04
nadym,62.7,41,0,6.22,65.53,72.51
taybad,93.3,17,0,18.75,34.74,60.78
kudahuvadhoo,78.9,100,80,11.48,2.67,72.89
upington,46.4,64,0,8.05,-28.46,21.24
tynda,76.2,47,0,3.53,55.15,124.74
kasongo-lunda,62.07,80,0,4.21,-6.48,16.82
kenai,58.15,76,20,14.99,60.55,-151.26
belaya gora,70.08,48,12,10.36,68.54,146.19
muros,59.0,100,20,5.82,42.77,-9.06
glace bay,53.6,93,20,5.82,46.2,-59.96
zhigansk,70.44,42,80,12.48,66.77,123.37
biak,78.18,99,80,4.76,-0.91,122.88
jalu,79.98,38,0,8.79,29.03,21.55
mae ramat,78.8,78,90,1.12,16.98,98.52
gidam,74.04,100,92,9.69,18.98,81.4
dronninglund,63.24,65,56,15.95,57.16,10.29
acapulco,82.4,83,20,2.24,16.86,-99.88
batemans bay,53.43,72,0,12.71,-35.71,150.18
broome,57.56,93,88,1.12,52.47,1.45
san policarpo,88.71,80,12,14.72,12.18,125.51
barra patuca,82.32,89,0,12.48,15.8,-84.28
lavrentiya,43.62,95,92,8.01,65.58,-170.99
port hardy,59.0,67,20,10.29,50.7,-127.42
prado,77.28,93,76,11.25,-17.34,-39.22
wilmington,67.19,77,1,9.35,39.75,-75.55
sao joao da barra,74.4,96,0,20.09,-21.64,-41.05
saint-philippe,65.64,68,1,6.93,45.36,-73.48
clemson,73.44,100,90,3.36,34.69,-82.84
marsh harbour,83.31,100,48,12.82,26.54,-77.06
sorong,82.14,100,76,8.9,-0.86,131.25
bathsheba,80.6,74,20,23.04,13.22,-59.52
north bend,56.23,76,1,25.28,43.41,-124.22
dongsheng,98.25,60,0,7.11,29.72,112.52
taicheng,80.52,100,92,8.68,22.25,112.8
pierre,66.2,88,1,8.05,44.37,-100.35
nanortalik,38.4,98,64,3.87,60.14,-45.24
te anau,46.95,75,8,14.94,-45.41,167.72
iqaluit,41.0,86,20,2.24,63.75,-68.52
namwala,52.62,95,48,10.13,-15.75,26.45
port hedland,86.0,19,0,17.22,-20.31,118.58
pedra azul,54.6,97,12,3.2,-16.01,-41.28
leh,47.67,70,20,1.07,34.16,77.58
thunder bay,59.0,93,75,8.05,48.41,-89.26
ulladulla,57.2,35,20,27.51,-35.36,150.48
